Sample in Buffer,Sample in Window,TRIGGER,design_1_i/NV_nvdla_wrapper_0_dla_intr,design_1_i/tdc_bank_0_data_o[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,OCTAL
711,711,0,0,00000000173
712,712,0,0,00000000176
713,713,0,0,00000000207
714,714,0,0,00000000152
715,715,0,0,00000000151
716,716,0,0,00000000157
717,717,0,0,00000000165
718,718,0,0,00000000172
719,719,0,0,00000000176
720,720,0,0,00000000203
721,721,0,0,00000000147
722,722,0,0,00000000151
723,723,0,0,00000000152
724,724,0,0,00000000166
725,725,0,0,00000000177
726,726,0,0,00000000174
727,727,0,0,00000000205
728,728,0,0,00000000146
729,729,0,0,00000000151
730,730,0,0,00000000162
731,731,0,0,00000000170
732,732,0,0,00000000172
733,733,0,0,00000000171
734,734,0,0,00000000205
735,735,0,0,00000000154
736,736,0,0,00000000153
737,737,0,0,00000000153
738,738,0,0,00000000177
739,739,0,0,00000000171
740,740,0,0,00000000176
741,741,0,0,00000000177
742,742,0,0,00000000151
743,743,0,0,00000000151
744,744,0,0,00000000153
745,745,0,0,00000000164
746,746,0,0,00000000165
747,747,0,0,00000000200
748,748,0,0,00000000204
749,749,0,0,00000000150
750,750,0,0,00000000152
751,751,0,0,00000000153
752,752,0,0,00000000173
753,753,0,0,00000000172
754,754,0,0,00000000200
755,755,0,0,00000000200
756,756,0,0,00000000153
757,757,0,0,00000000151
758,758,0,0,00000000162
759,759,0,0,00000000174
760,760,0,0,00000000170
761,761,0,0,00000000204
762,762,0,0,00000000207
763,763,0,0,00000000153
764,764,0,0,00000000153
765,765,0,0,00000000151
766,766,0,0,00000000171
767,767,0,0,00000000174
768,768,0,0,00000000203
769,769,0,0,00000000204
770,770,0,0,00000000152
771,771,0,0,00000000153
772,772,0,0,00000000153
773,773,0,0,00000000171
774,774,0,0,00000000167
775,775,0,0,00000000201
776,776,0,0,00000000211
777,777,0,0,00000000152
778,778,0,0,00000000151
779,779,0,0,00000000161
780,780,0,0,00000000170
781,781,0,0,00000000174
782,782,0,0,00000000175
783,783,0,0,00000000204
784,784,0,0,00000000154
785,785,0,0,00000000152
786,786,0,0,00000000153
787,787,0,0,00000000171
788,788,0,0,00000000173
789,789,0,0,00000000175
790,790,0,0,00000000203
791,791,0,0,00000000151
792,792,0,0,00000000152
793,793,0,0,00000000153
794,794,0,0,00000000161
795,795,0,0,00000000173
796,796,0,0,00000000174
797,797,0,0,00000000203
798,798,0,0,00000000154
799,799,0,0,00000000151
800,800,0,0,00000000156
801,801,0,0,00000000172
